+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; nios_system_inst|id_router_004                                                                                                                                            ; 100   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router_003|the_default_decode                                                                                                                         ; 0     ; 16             ; 0            ; 16             ; 16     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router_003                                                                                                                                            ; 100   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router_002|the_default_decode                                                                                                                         ; 0     ; 16             ; 0            ; 16             ; 16     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router_002                                                                                                                                            ; 100   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router_001|the_default_decode                                                                                                                         ; 0     ; 16             ; 0            ; 16             ; 16     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router_001                                                                                                                                            ; 82    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router|the_default_decode                                                                                                                             ; 0     ; 16             ; 0            ; 16             ; 16     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|id_router                                                                                                                                                ; 100   ; 0              ; 2            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|addr_router_001|the_default_decode                                                                                                                       ; 0     ; 16             ; 0            ; 16             ; 16     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|addr_router_001                                                                                                                                          ; 100   ; 0              ; 6            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|addr_router|the_default_decode                                                                                                                           ; 0     ; 16             ; 0            ; 16             ; 16     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|addr_router                                                                                                                                              ; 100   ; 0              ; 6            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                         ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                     ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                                                  ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_counter_expire_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                      ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_counter_expire_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                  ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_counter_expire_s1_translator_avalon_universal_slave_0_agent                                                                               ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_value_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                               ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_value_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                           ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_value_s1_translator_avalon_universal_slave_0_agent                                                                                        ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_config_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                         ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_config_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                     ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_config_s1_translator_avalon_universal_slave_0_agent                                                                                  ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                            ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_s1_translator_avalon_universal_slave_0_agent                                                                                         ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_reset_counter_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                       ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_reset_counter_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                   ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_reset_counter_s1_translator_avalon_universal_slave_0_agent                                                                                ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_green_o_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                        ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_green_o_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                    ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_green_o_s1_translator_avalon_universal_slave_0_agent                                                                                                 ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_red_o_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                          ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_red_o_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                      ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_red_o_s1_translator_avalon_universal_slave_0_agent                                                                                                   ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|push_button_i_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                      ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|push_button_i_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                  ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|push_button_i_s1_translator_avalon_universal_slave_0_agent                                                                                               ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|switch_i_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                           ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|switch_i_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                       ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|switch_i_s1_translator_avalon_universal_slave_0_agent                                                                                                    ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|sram_0_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                              ; 122   ; 39             ; 0            ; 39             ; 81     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|sram_0_avalon_sram_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                          ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|sram_0_avalon_sram_slave_translator_avalon_universal_slave_0_agent                                                                                       ; 211   ; 21             ; 33           ; 21             ; 224    ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                               ; 140   ; 39             ; 0            ; 39             ; 99     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                           ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                        ; 279   ; 38             ; 49           ; 38             ; 295    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_data_master_translator_avalon_universal_master_0_agent                                                                                             ; 176   ; 34             ; 80           ; 34             ; 132    ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_instruction_master_translator_avalon_universal_master_0_agent                                                                                      ; 176   ; 34             ; 80           ; 34             ; 132    ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0_avalon_jtag_slave_translator                                                                                                                 ; 101   ; 2              ; 23           ; 2              ; 70     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_counter_expire_s1_translator                                                                                                              ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_value_s1_translator                                                                                                                       ; 101   ; 3              ; 22           ; 3              ; 36     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_config_s1_translator                                                                                                                 ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_s1_translator                                                                                                                        ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_reset_counter_s1_translator                                                                                                               ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_green_o_s1_translator                                                                                                                                ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_red_o_s1_translator                                                                                                                                  ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|push_button_i_s1_translator                                                                                                                              ; 101   ; 3              ; 22           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|switch_i_s1_translator                                                                                                                                   ; 101   ; 3              ; 22           ; 3              ; 36     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|sram_0_avalon_sram_slave_translator                                                                                                                      ; 66    ; 2              ; 3            ; 2              ; 56     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_jtag_debug_module_translator                                                                                                                       ; 101   ; 3              ; 12           ; 3              ; 83     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_data_master_translator                                                                                                                             ; 102   ; 9              ; 0            ; 9              ; 97     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0_instruction_master_translator                                                                                                                      ; 101   ; 49             ; 0            ; 49             ; 97     ; 49              ; 49            ; 49              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_r                                                                                                         ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
